cardnumber,surname,firstname,title,othernames,initials,streetnumber,streettype,address,address2,city,state,zipcode,country,email,phone,mobile,fax,emailpro,phonepro,B_streetnumber,B_streettype,B_address,B_address2,B_city,B_state,B_zipcode,B_country,B_email,B_phone,dateofbirth,branchcode,categorycode,dateenrolled,dateexpiry,date_renewed,gonenoaddress,lost,debarred,debarredcomment,contactname,contactfirstname,contacttitle,guarantorid,borrowernotes,relationship,sex,password,flags,userid,opacnote,contactnote,sort1,sort2,altcontactfirstname,altcontactsurname,altcontactaddress1,altcontactaddress2,altcontactaddress3,altcontactstate,altcontactzipcode,altcontactcountry,altcontactphone,smsalertnumber,sms_provider_id,privacy,privacy_guarantor_checkouts,checkprevcheckout,updated_on,lastseen,lang,login_attempts,overdrive_auth_token,patron_attributes
63814062,Jantel,Sawyer,Mr,,,2030,Crossing,Lighthouse Bay,,Littleton,Colorado,768-91-4045,Argentina,sjantel0@howstuffworks.com,3032573671,8138206782,,mjantel0@ftc.gov,,,,,,,,,,,,1986-04-15,ARBCCAB,ST,2015-08-28,2042-10-25,,,,,,,,,,,,Male,f823xg,,,,,,,,,,,,,,,,,,,,,,,,,,
13846681,Debling,Dominic,Mrs,,,2139,Lane,Sachtjen,,Memphis,Tennessee,687-24-6357,Argentina,tdebling1@trellian.com,9012871748,4128018664,,pdebling1@elegantthemes.com,,,,,,,,,,,,1985-03-10,ARBCCAB,ST,2015-08-28,2036-12-24,,,,,,,,,,,,Male,MPyQKwUjD,,,,,,,,,,,,,,,,,,,,,,,,,,
6048038,Le Sieur,Dionis,Dr,,,5760,Junction,Commercial,,Houston,Texas,591-66-7115,Argentina,vlesieur2@washington.edu,7138688298,6123303986,,rlesieur2@illinois.edu,,,,,,,,,,,,1986-07-31,ARBCCAB,ST,2015-08-28,2042-02-19,,,,,,,,,,,,Female,oFoiyhlt9zZ,,,,,,,,,,,,,,,,,,,,,,,,,,
53807608,Patters,Rebecka,Honorable,,,9,Road,Coleman,,San Jose,California,436-94-9681,Argentina,cpatters3@newsvine.com,4081332884,6107483318,,dpatters3@vkontakte.ru,,,,,,,,,,,,1990-08-18,ARBCCAB,ST,2015-08-28,2039-11-22,,,,,,,,,,,,Female,RBvJH5Zr05V,,,,,,,,,,,,,,,,,,,,,,,,,,
56080192,Dignam,Reinaldos,Rev,,,710,Crossing,David,,Minneapolis,Minnesota,307-50-1163,Argentina,tdignam4@e-recht24.de,7638623836,4056002417,,fdignam4@tuttocitta.it,,,,,,,,,,,,1998-09-11,ARBCCAB,ST,2015-08-28,2042-08-25,,,,,,,,,,,,Male,asvqdYALY,,,,,,,,,,,,,,,,,,,,,,,,,,
206308,Lowless,Simeon,Mrs,,,1868,Lane,Bay,,Boston,Massachusetts,651-55-8807,Argentina,rlowless5@tripod.com,6176933274,8045937083,,slowless5@amazon.de,,,,,,,,,,,,2000-04-10,ARBCCAB,ST,2015-08-28,2040-01-10,,,,,,,,,,,,Male,xaIFoo5b,,,,,,,,,,,,,,,,,,,,,,,,,,
21731186,Phoenix,Garrett,Honorable,,,6,Alley,Fordem,,Lancaster,California,220-30-0577,Argentina,hphoenix6@sourceforge.net,6619135759,2134184629,,cphoenix6@fotki.com,,,,,,,,,,,,1987-09-10,ARBCCAB,ST,2015-08-28,2044-01-13,,,,,,,,,,,,Male,iSsWWlhM8m,,,,,,,,,,,,,,,,,,,,,,,,,,
84033484,Poundford,Nydia,Mrs,,,6,Parkway,Dexter,,San Francisco,California,361-63-3169,Argentina,rpoundford7@hibu.com,4158380721,5132478445,,tpoundford7@webmd.com,,,,,,,,,,,,1981-03-22,ARBCCAB,ST,2015-08-28,2034-06-13,,,,,,,,,,,,Female,M0dpIVCx,,,,,,,,,,,,,,,,,,,,,,,,,,
19669968,Careswell,Ashley,Mrs,,,6491,Road,Corben,,Newark,New Jersey,245-30-6021,Argentina,gcareswell8@shutterfly.com,8624660168,8326331658,,kcareswell8@biglobe.ne.jp,,,,,,,,,,,,1994-08-31,ARBCCAB,ST,2015-08-28,2042-06-12,,,,,,,,,,,,Male,vAjs1zeJ9Y,,,,,,,,,,,,,,,,,,,,,,,,,,
90904303,Verryan,Dottie,Rev,,,2926,Junction,Manitowish,,Charleston,West Virginia,869-74-3773,Argentina,kverryan9@mozilla.com,3049130416,4088711935,,vverryan9@hc360.com,,,,,,,,,,,,1973-09-29,ARBCCAB,ST,2015-08-28,2037-11-10,,,,,,,,,,,,Female,Nfdkf2trk3,,,,,,,,,,,,,,,,,,,,,,,,,,
